Tag	Type	ID	TPRX2P	LHX8	FOXQ1	PAX9	EGR2	ELK3	ETV5	FOXI1	KLF3	LHX4	ETV4	TLX3	PAX2	SOX10	PAX7	SP7	KLF12	HOXB2	ERG	ETS1	VSX1	GCM1	HNF1B	PAX6	IRF9	TBXT	FOXJ2	TBX21
TCGA-DU-8166-01	Central Nervous	TCGA-DU-8166-01	-9.9658	-9.9658	-1.2142	-4.2934	4.3484	3.4048	2.9600	-9.9658	4.3931	-1.3921	-3.8160	-5.5735	-4.6082	1.4547	-3.3076	-2.9324	4.5330	-1.3183	2.2113	4.5398	-2.0529	-6.5064	-5.5735	5.9953	5.9896	-9.9658	3.7603	-3.8160
TCGA-S9-A7IX-01	Central Nervous	TCGA-S9-A7IX-01	-9.9658	-9.9658	-0.5125	-5.5735	3.5994	4.3618	6.0596	-9.9658	4.2973	-1.5105	5.4986	-9.9658	-3.4580	5.5522	-2.9324	-2.9324	2.2206	3.5742	2.4934	4.1788	0.2277	-4.0350	-4.0350	5.4722	6.2308	-9.9658	3.4424	-1.8836
TCGA-FG-A60J-01	Central Nervous	TCGA-FG-A60J-01	-9.9658	-1.7809	-2.6349	-2.5479	4.2661	2.7679	3.2466	-9.9658	3.9166	-1.3921	-1.7809	-5.5735	-4.6082	4.0884	-3.0469	-3.6259	2.2421	-1.3548	0.2029	4.2419	-2.9324	-4.6082	-9.9658	5.1871	7.1038	-6.5064	3.3478	-2.7274
TCGA-QH-A65S-01	Central Nervous	TCGA-QH-A65S-01	-9.9658	-3.0469	-2.1140	-2.9324	0.5370	2.5213	3.0127	-9.9658	3.3703	-3.4580	-3.1714	-9.9658	-5.5735	4.9865	-6.5064	-3.8160	1.8201	-5.5735	0.6332	3.8847	-1.0262	-5.5735	-9.9658	3.3003	5.5880	-9.9658	2.2960	-3.8160
TCGA-DB-5274-01	Central Nervous	TCGA-DB-5274-01	-9.9658	-9.9658	-2.5479	-2.7274	1.5115	0.9419	5.9079	-6.5064	2.1830	-6.5064	3.8249	-9.9658	-5.5735	3.6018	-9.9658	-1.6394	1.7141	-1.1172	0.4340	3.5657	-3.6259	-9.9658	-5.5735	1.4704	6.0157	-9.9658	1.8036	-3.3076
TCGA-TQ-A7RK-01	Central Nervous	TCGA-TQ-A7RK-01	-9.9658	-9.9658	-2.4659	-3.4580	2.9802	1.9188	1.8242	-9.9658	3.3192	-1.8836	0.5763	-9.9658	-6.5064	6.8054	-9.9658	-2.7274	2.7422	-1.1488	0.0854	2.5585	-3.3076	-9.9658	-5.0116	4.4257	6.2087	-4.6082	3.4765	-4.2934
TCGA-DB-A4XF-01	Central Nervous	TCGA-DB-A4XF-01	-9.9658	-9.9658	-1.2481	-3.8160	1.3846	3.1876	2.6185	-5.5735	3.8611	-1.6394	-1.8836	-9.9658	-6.5064	2.1147	-2.1140	-3.8160	3.4437	-2.9324	2.1476	4.1433	-1.0862	-6.5064	-6.5064	4.6560	6.2576	-9.9658	3.3869	-4.2934
TCGA-TQ-A7RI-01	Central Nervous	TCGA-TQ-A7RI-01	-9.9658	-9.9658	-2.8262	-3.8160	-0.9971	2.6232	6.2054	-5.5735	4.3024	-0.2845	5.8228	-5.5735	-5.5735	4.5034	-5.5735	-2.5479	4.0304	-1.6394	1.0983	4.7751	0.1648	-6.5064	-9.9658	4.0790	7.2569	-9.9658	3.6669	-3.3076
TCGA-P5-A781-01	Central Nervous	TCGA-P5-A781-01	-9.9658	-6.5064	-0.7588	-4.6082	-0.3201	2.5996	2.8178	-6.5064	4.2419	-1.3921	-1.4699	-9.9658	-3.1714	4.8156	-3.6259	-3.6259	2.9984	-4.2934	1.7828	3.8973	-0.7588	-9.9658	-5.5735	5.1240	6.5658	-5.0116	2.9637	-3.8160
TCGA-R8-A6MO-01	Central Nervous	TCGA-R8-A6MO-01	-9.9658	-9.9658	-0.0277	-2.8262	0.5470	1.8323	6.2685	-5.0116	4.1804	-1.9942	4.9317	-9.9658	-4.0350	5.9637	-9.9658	-1.5951	2.9544	-2.4659	1.5266	4.3924	-1.9942	-5.5735	-2.7274	2.7763	7.2643	-9.9658	3.4170	-2.3147
